"id","symbol","current_price","last_updated"
"ethereum","eth","4380.05","11/21/2021"
"ethereum","eth","4175.9","11/22/2021"
"ethereum","eth","4177.05","11/23/2021"
"ethereum","eth","4252.8","11/24/2021"
"ethereum","eth","4321.36","11/25/2021"
"ethereum","eth","4437.73","11/26/2021"
"ethereum","eth","4117.07","11/27/2021"
"ethereum","eth","4034.39","11/28/2021"
"ethereum","eth","4307.75","11/29/2021"
"ethereum","eth","4425.68","11/30/2021"
"ethereum","eth","4055.74","12/12/2021"
"ethereum","eth","4053.97","12/12/2021"
"ethereum","eth","4002.46","12/13/2021"
"ethereum","eth","3785.07","12/14/2021"
"ethereum","eth","3855.31","12/15/2021"
"ethereum","eth","4024.33","12/16/2021"
"ethereum","eth","3976.16","12/17/2021"
"ethereum","eth","3890.73","12/18/2021"
"ethereum","eth","3999.53","12/19/2021"
"ethereum","eth","3917.07","12/20/2021"
"ethereum","eth","4059.33","12/21/2021"
"ethereum","eth","4062.97","12/22/2021"
"ethereum","eth","3981.83","12/23/2021"
"ethereum","eth","4097.68","12/24/2021"
"ethereum","eth","4046.96","12/25/2021"
"ethereum","eth","4023.08","12/26/2021"
"ethereum","eth","4084.35","12/27/2021"
"ethereum","eth","3964.04","12/28/2021"
"ethereum","eth","3825.55","12/29/2021"
"ethereum","eth","3660.71","12/30/2021"
"ethereum","eth","3748.48","12/31/2021"
"ethereum","eth","3732.03","01/01/2022"
"ethereum","eth","3757.81","01/02/2022"
"ethereum","eth","3789.66","01/03/2022"
"ethereum","eth","3752.56","01/04/2022"
"ethereum","eth","3811.86","01/05/2022"
"ethereum","eth","3460.5","01/06/2022"
"ethereum","eth","3409.21","01/06/2022"
"ethereum","eth","3228.74","01/07/2022"
"ethereum","eth","3206.9","01/08/2022"
"ethereum","eth","3131.68","01/09/2022"
"ethereum","eth","3162.28","01/10/2022"
"ethereum","eth","3125.92","01/11/2022"
"ethereum","eth","3241.67","01/12/2022"
"ethereum","eth","3336.48","01/13/2022"
"ethereum","eth","3274.24","01/14/2022"
"ethereum","eth","3310.71","01/15/2022"
"ethereum","eth","3320.68","01/16/2022"
"ethereum","eth","3277.83","01/17/2022"
"ethereum","eth","3183.51","01/18/2022"
"ethereum","eth","3112.36","01/19/2022"
"ethereum","eth","3132.06","01/20/2022"
"ethereum","eth","2856.63","01/21/2022"
"ethereum","eth","2571.45","01/22/2022"
"ethereum","eth","2416.06","01/23/2022"
"ethereum","eth","2472.06","01/24/2022"
"ethereum","eth","2421.6","01/25/2022"
"ethereum","eth","2481.18","01/26/2022"
"ethereum","eth","2368.1","01/27/2022"
"ethereum","eth","2450.47","01/28/2022"
"ethereum","eth","2549.41","01/29/2022"
"ethereum","eth","2578.23","01/30/2022"
"ethereum","eth","2515.6","01/31/2022"
"ethereum","eth","2754.77","02/01/2022"
"ethereum","eth","2780.92","02/02/2022"
"ethereum","eth","2669.51","02/03/2022"
"ethereum","eth","2678.07","02/04/2022"
"ethereum","eth","3005.17","02/05/2022"
"ethereum","eth","3020.09","02/06/2022"
"ethereum","eth","3073","02/07/2022"
"ethereum","eth","3152.27","02/08/2022"
"ethereum","eth","3081.58","02/09/2022"
"ethereum","eth","3182.45","02/10/2022"
"ethereum","eth","3203.99","02/10/2022"
"ethereum","eth","3065.06","02/11/2022"
"ethereum","eth","2938.66","02/12/2022"
"ethereum","eth","2927.48","02/13/2022"
"ethereum","eth","2869.44","02/14/2022"
"ethereum","eth","3032.22","02/15/2022"
"ethereum","eth","3143.7","02/16/2022"
"ethereum","eth","3079.27","02/17/2022"
"ethereum","eth","2914.66","02/18/2022"
"ethereum","eth","2810.33","02/19/2022"
"ethereum","eth","2718.51","02/20/2022"
"ethereum","eth","2725.65","02/21/2022"
"ethereum","eth","2530.92","02/22/2022"
"ethereum","eth","2629.33","02/23/2022"
"ethereum","eth","2411.45","02/24/2022"
"ethereum","eth","2638.42","02/25/2022"
"ethereum","eth","2802.85","02/26/2022"
"ethereum","eth","2719.78","02/27/2022"
"ethereum","eth","2619","02/28/2022"
"ethereum","eth","2913.93","03/01/2022"
"ethereum","eth","3010.98","03/02/2022"
"ethereum","eth","2905.99","03/03/2022"
"ethereum","eth","2726.95","03/04/2022"
"ethereum","eth","2627.64","03/05/2022"
"ethereum","eth","2643.49","03/06/2022"
"ethereum","eth","2527.97","03/07/2022"
"ethereum","eth","2551.57","03/08/2022"
"ethereum","eth","2719.84","03/09/2022"
"ethereum","eth","2662.79","03/10/2022"
"ethereum","eth","2552.6","03/11/2022"
"ethereum","eth","2584.5","03/12/2022"
"ethereum","eth","2594.49","03/13/2022"
"ethereum","eth","2535.91","03/14/2022"
"ethereum","eth","2544.8","03/15/2022"
"ethereum","eth","2621.72","03/16/2022"
"ethereum","eth","2766.88","03/17/2022"
"ethereum","eth","2777.52","03/18/2022"
"ethereum","eth","2946.48","03/19/2022"
"ethereum","eth","2933.3","03/20/2022"
"ethereum","eth","2847.62","03/21/2022"
"ethereum","eth","3007.82","03/22/2022"
"ethereum","eth","2953.86","03/23/2022"
"ethereum","eth","3020.24","03/24/2022"
"ethereum","eth","3131.42","03/25/2022"
"ethereum","eth","3110.16","03/26/2022"
"ethereum","eth","3141","03/27/2022"
"ethereum","eth","3305.33","03/28/2022"
"ethereum","eth","3370.33","03/29/2022"
"ethereum","eth","3380.32","03/30/2022"
"ethereum","eth","3399.04","03/31/2022"
"ethereum","eth","3255.81","04/01/2022"
"ethereum","eth","3472.94","04/02/2022"
"ethereum","eth","3457.19","04/03/2022"
"ethereum","eth","3484.31","04/04/2022"
"ethereum","eth","3526.76","04/05/2022"
"ethereum","eth","3346.42","04/06/2022"
"ethereum","eth","3216.68","04/06/2022"
"ethereum","eth","3186.94","04/07/2022"
"ethereum","eth","3268.98","04/08/2022"
"ethereum","eth","3212.46","04/09/2022"
"ethereum","eth","3260.88","04/10/2022"
"ethereum","eth","3180.99","04/11/2022"
"ethereum","eth","2987.1","04/12/2022"
"ethereum","eth","3053.37","04/13/2022"
"ethereum","eth","3124.15","04/14/2022"
"ethereum","eth","3046","04/15/2022"
"ethereum","eth","3035.03","04/15/2022"
"ethereum","eth","3035.2","04/15/2022"
"ethereum","eth","3039.05","04/15/2022"
"ethereum","eth","3045.31","04/15/2022"
"ethereum","eth","3045.17","04/16/2022"
"ethereum","eth","3042.36","04/16/2022"
"ethereum","eth","3044","04/16/2022"
"ethereum","eth","3045.58","04/16/2022"
"ethereum","eth","3041.39","04/16/2022"
"ethereum","eth","3042.17","04/16/2022"
"ethereum","eth","3019.78","04/16/2022"
"ethereum","eth","3027.81","04/16/2022"
"ethereum","eth","3071.86","04/16/2022"
"ethereum","eth","3035.3","04/17/2022"
"ethereum","eth","3000.86","04/18/2022"
"ethereum","eth","3040.25","04/19/2022"
"ethereum","eth","3089.76","04/20/2022"
